"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.158765163744315,0.202688258896933,0.226246552932131,0.245071870356028,0.279969785696338,0.404622485313493,0.0586451524072508
"Num_JM",0.163775278736378,0.20330746212057,0.237664368159334,0.242569184508981,0.269383803467847,0.357039952390996,0.0468866922320733
"Num_SubAF",0.0962329456390052,0.175849102712058,0.238346979677646,0.257436901185398,0.327384368735724,0.605893440083712,0.106441034042141
"Num_SubAM",0.0980137556434681,0.190509384773834,0.256028816133201,0.262582536048109,0.309040181562944,0.572431944198862,0.106446913069348
"Num_AF",0.88950772274518,0.987823973542458,1.07874821390981,1.0980846549843,1.17030073338456,1.51826860333543,0.142019601911424
"Num_AM",0.031943500003999,0.0770554128206024,0.103534540087788,0.102358888593155,0.129397497245544,0.171017428702063,0.0335991255606772
"Num_N",1.68563662403693,1.97126488189422,2.15315570612733,2.21961347438239,2.42848113422923,3.01125280258882,0.309875982004397
"Total_mortality",0.0658725171331391,0.087210383149741,0.0998896934781646,0.105930091130758,0.12261718381619,0.175576407034406,0.0233803106625877
"Total_mortality_JF",0.0101160857949677,0.0164324364666383,0.0213945122293179,0.0245500497621886,0.0284242537073957,0.0627082306768731,0.0114201018081603
"Total_mortality_JM",0.0110244643143474,0.0161961602574975,0.0224998248734846,0.0240044308131687,0.0299518573448579,0.0468786745913309,0.00936490543345459
"Total_mortality_SubAF",0.00292281210785032,0.00863040642139925,0.0137418371517303,0.0157799761653884,0.0216021910898578,0.0425880425996675,0.00885021727713863
"Total_mortality_SubAM",0.00331010559534417,0.00962850548699524,0.0147089686744526,0.0163999953845275,0.0202028671711243,0.0499396576698111,0.00951791533434126
"Total_mortality_AF",0.0191657339818658,0.0207624162783858,0.0227930273306084,0.0231194672077584,0.0247410705730548,0.0311628428114466,0.00284491433176319
"Total_mortality_AM",0.000294695808889245,0.000812527474525066,0.00108792078562677,0.00107197892061289,0.0013852348790095,0.00185616147279771,0.000370474496402631
"Quantity_liveweight_kg",15.3089596918334,34.0383036991758,43.3773204773252,44.7764530920858,55.9134659263689,86.5177559577,15.0358162226985
"Quantity_liveweight_kg_JF",0.191465725944185,1.72505122717438,4.54535963513013,4.6172556340459,6.77329312507066,12.0336963724585,3.07668475922063
"Quantity_liveweight_kg_JM",0.186465509051513,2.42193571690517,5.05534387842093,4.89832264541419,6.91006348065252,13.7428349701175,3.16655408266791
"Quantity_liveweight_kg_SubAF",0.175728185855398,1.70221678962329,4.82777215267806,4.81704335569833,6.9623520440533,17.5709097624277,3.54117220592491
"Quantity_liveweight_kg_SubAM",0.274961356852336,2.95215658904918,4.32952817537849,5.81036046260708,8.22167433198676,19.3908374834442,4.1478292994155
"Quantity_liveweight_kg_AF",0.955404777012236,12.9192295504077,22.3514322698214,22.4687492889143,33.3418442161205,53.1394011167399,12.8559859058018
"Quantity_liveweight_kg_AM",0.0470716183167596,0.69830143787238,1.8799436342816,1.93214518401163,2.70029220895179,5.50569916965035,1.38348041999515
"Cumulative_draught_income",69.5379959250375,219.207845724143,280.475288895734,279.022247139752,323.476739785068,565.27140503318,91.0717401235411
"Quantity_meat_kg",0.494847108556806,5.37945744249983,9.93513639223056,11.0943203272054,15.1408150984267,32.2439905241832,7.18054540069863
"Num_offtake",0.249207118390635,0.816329943651692,1.11105742791971,1.08498857135073,1.32407631298119,1.89281937053966,0.333962866114364
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.000669643280801803,0.00199981761020763,0.00323609706424595,0.00374244509946573,0.00515665473992693,0.0100788275295977,0.00210681492405756
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0669198491557564,0.0724948894090482,0.0795850527932067,0.0807248634238862,0.0863869190852441,0.108809437832109,0.00993341753166235
"Num_offtake_AM",0.00506203097302724,0.0139568976497636,0.0186873669286303,0.0184135312919029,0.0237943725392412,0.0318835442609675,0.00636369204765852
"Offtake_liveweight_kg",0.989694217113612,10.7589148849997,19.8702727844611,22.1886406544108,30.2816301968534,64.4879810483663,14.3610908013973
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.00200892984240541,0.0214142793681508,0.055978501724214,0.06950024483951,0.0965078654920368,0.292285998358333,0.0592776401223378
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",0.0707055137613035,0.962455689206731,1.65769398018609,1.65301028393599,2.445549544233,3.8083303241238,0.944420464232197
"Offtake_liveweight_kg_AM",0.00747310598649556,0.121497511192451,0.331663450960578,0.346667661918253,0.492057626933065,1.04022975654159,0.251031126565609
"Pop_growth",-1.43931139540621,-0.954420066114154,-0.688220945819604,-0.684087246900807,-0.402607602128828,0.122675512372711,0.349541670081574
"Pop_growth_JF",-0.368750228369556,0.0219862251095926,0.0934153489777583,0.0559407872708426,0.13550340792795,0.186324441116473,0.1118547883642
"Pop_growth_JM",-0.181532822601077,-0.00280811632062659,0.0784215490639721,0.0613822257630174,0.137540512809242,0.237830500341471,0.0982226288015748
"Pop_growth_SubAF",-0.161723495985216,0.0469205862467043,0.0893779544964049,0.0997730778243364,0.14389684408386,0.373137183213453,0.096090448219837
"Pop_growth_SubAM",-0.165238511603271,0.0422251515977605,0.0897576641597213,0.0942269328723937,0.139402927753403,0.291854143821136,0.0839578982466058
"Pop_growth_AF",-0.188235092995643,-0.136415166493474,-0.106549042790464,-0.097576816933352,-0.0610107701797785,0.0539155531195548,0.0525044585626234
"Pop_growth_AM",-0.0270822841260638,-0.0159595148090617,-0.00909489225001486,-0.00900911211980959,-0.00305974380435823,0.0169592583711453,0.00881967811609632
"Quantity_manure",882.717192497391,1033.13055177591,1123.44883955093,1139.66761011632,1252.89673544886,1502.79795740513,146.792838343642
"Quantity_manure_JF",24.234398226051,37.560623804643,47.3250174983126,53.096196277716,62.0986967259594,124.547330492029,22.0723705112191
