"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.146904730924255,0.188276340527721,0.215468774396567,0.226987549002441,0.254606030478819,0.437171943984304,0.0511179009862637
"Num_JM",0.14970106759239,0.188505847783141,0.217990379636229,0.226076458163549,0.255711579234015,0.524923224479052,0.0489586239516742
"Num_SubAF",0.0806352083110988,0.168184198130602,0.226921582910901,0.245173929647153,0.305885575218698,0.782163391060153,0.100403793302427
"Num_SubAM",0.079349758448578,0.175653606043755,0.230904910670937,0.246651870977662,0.302281825134847,0.658585898756831,0.0975159044827399
"Num_AF",0.794339263110327,0.894811293562756,0.963255629740686,0.985327354732812,1.05462735601795,1.60368776047686,0.119047526925019
"Num_AM",0.0170150564684446,0.067971325863774,0.0915358464752911,0.0917993838806226,0.115156904548961,0.168978788407143,0.0316455715318436
"Num_N",1.40369325904022,1.82136772433529,2.00350373881104,2.03282003314417,2.21058618467494,3.70611616957036,0.288340458317234
"Total_mortality",0.14706696934866,0.19575993358105,0.216303335669958,0.218909156294936,0.239050088616972,0.397870150712696,0.0321469830006601
"Total_mortality_JF",0.0089997597180498,0.014262285911662,0.0189926668521344,0.0215652392111108,0.0262869054966774,0.0650471173577521,0.00960139640136239
"Total_mortality_JM",0.00931494157878612,0.0139505329543323,0.0192504037565881,0.0213772071384501,0.0264593453698136,0.068247529844665,0.00923196088037888
"Total_mortality_SubAF",0.00314886533691111,0.011884374040504,0.0185386691439546,0.0211480814915807,0.0270997602713036,0.0847304908883167,0.0122998062858329
"Total_mortality_SubAM",0.00308685410851595,0.0125172394104308,0.018492098854694,0.0211962881043288,0.0274394506575774,0.0673204185345286,0.0119186091686794
"Total_mortality_AF",0.0943482647802029,0.102535477490604,0.109399185391028,0.11262174430485,0.119767894033276,0.176015439859613,0.0131889566485773
"Total_mortality_AM",0.00133584378819691,0.00774213476606918,0.0104644731494389,0.0105612634033425,0.0134630795316577,0.0200295641643748,0.00382315437846219
"Quantity_liveweight_kg",225.380921829324,343.53816557134,386.003772993273,391.117391038713,435.210154305706,714.515885287627,66.355839484342
"Quantity_liveweight_kg_JF",4.80176804943073,14.781753039869,18.1670311152948,19.0014994534119,22.5551308794951,41.1291415293777,5.92739948045314
"Quantity_liveweight_kg_JM",6.10185943914845,14.8757288530234,18.9215494345892,19.8333935559647,24.1162496843145,58.4309922194209,6.95093790337469
"Quantity_liveweight_kg_SubAF",9.68982903876296,27.5584312117791,37.4714936688491,41.6168746146568,51.9596090574796,121.694083323734,19.1878908744923
"Quantity_liveweight_kg_SubAM",10.7562995428854,29.9697649779297,40.6072104000084,44.9253736099806,56.1093889570724,130.145041905947,20.599716348812
"Quantity_liveweight_kg_AF",131.456902519223,206.340147259722,234.975665894031,238.610288909307,265.146292294647,411.81228167734,46.6891538928689
"Quantity_liveweight_kg_AM",4.52454248238215,17.3061070130803,23.6710416184901,24.2816607125933,30.8164662183834,53.3145556469812,9.31767272640181
"Cumulative_draught_income",56.8054919937479,210.61581771643,269.768532609319,272.904203771478,329.121639995711,557.32818887862,85.9316540083912
"Quantity_meat_kg",29.5675635635607,102.371013628507,138.312705410758,139.69816142692,175.12194899042,317.140485977069,48.7065886071753
"Num_offtake",0.251121168068241,0.807842142340662,1.06874829850221,1.06611191913247,1.32351973914388,1.88725042915985,0.333214361568301
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.000550478006392098,0.00207760124015088,0.00324089109556447,0.00369706306650852,0.00473752301598412,0.0148124059667088,0.00215022623033988
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0629437732402234,0.0684058139201818,0.0729848877873894,0.07513479502731,0.0799022979495375,0.117427447755525,0.00879891854394106
"Num_offtake_AM",0.00218013367841721,0.0126353761536257,0.0170783070158062,0.0172362713632413,0.0219721148247386,0.032688797735634,0.00623949274003364
"Offtake_liveweight_kg",59.1351271271214,204.742027257014,276.625410821516,279.396322853839,350.24389798084,634.280971954139,97.4131772143505
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.0925706855096078,0.33953576486647,0.525892157119742,0.628965759115058,0.819214727071531,2.54775604716517,0.398564690016112
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",10.2644966042241,15.6939476111309,17.8359284203915,18.1964536659514,20.2660654693772,32.6443090651049,3.53128250718414
"Offtake_liveweight_kg_AM",0.579728163909669,3.21916326327273,4.43237757715689,4.55946785561145,5.87502116634609,10.0769304563577,1.82156030573828
"Pop_growth",-1.70351941394607,-1.07463607327648,-0.812615171799444,-0.809389696787929,-0.543025539292318,0.0327378326207024,0.341775090282184
"Pop_growth_JF",-0.40125751987932,0.00452184053530263,0.0797586773775819,0.0565493476925509,0.130819516132268,0.254297803388065,0.10078513079768
"Pop_growth_JM",-0.407210967306569,0.00523053661453697,0.0790454972138776,0.0585142106262546,0.134649619594017,0.247265882355607,0.0973394998090253
"Pop_growth_SubAF",-0.282314886699002,0.0232210542821384,0.0825157409617706,0.0791715033692729,0.138933940433279,0.412361707246559,0.0953329582544307
"Pop_growth_SubAM",-0.191661829461801,0.0266201184093166,0.0799090247460544,0.0806617176807157,0.13722044966273,0.431207112476029,0.0911015551667653
"Pop_growth_AF",-0.356786820985556,-0.214995685704092,-0.182035668965422,-0.176154209479442,-0.141835493181279,0.121500000740918,0.0595534722846153
"Pop_growth_AM",-0.0458534131334854,-0.0258751031320732,-0.0179505220624703,-0.0177826957259851,-0.0100828834826023,0.0158068252648573,0.010983578534728
"Quantity_manure",727.739771788456,974.468708134269,1061.19208939116,1076.85764204173,1168.94208897812,1891.55955878227,146.127950381112
"Quantity_manure_JF",21.5701854884124,34.2846821531353,43.9499311580248,49.1642641696946,58.7723215122952,141.322180714071,19.554773622516
"Quantity_manure_JM",23.2799159534151,33.8035086776865,44.5040171177842,48.7331988033399,59.4438660463188,139.922870529666,18.8400054880838
"Quantity_manure_SubAF",14.9379600047106,50.34006143676,76.3479265928472,86.1880370256902,109.974569273251,337.833441644368,47.175101872731
"Quantity_manure_SubAM",14.5988279192346,53.2319494350389,77.3702791882926,86.6511313769869,110.201313695815,267.377750695526,46.2227277834164
"Quantity_manure_AF",529.697892297213,648.441395489756,703.971932432192,720.852564258256,777.612356747008,1178.7206316132,98.8997742092126
"Quantity_manure_AM",8.92155379709667,48.7562257224407,67.533915893571,67.9794519108668,85.287165146871,131.730281948814,25.0337076734023
"Value_manure",363.869885894228,487.234354067135,530.59604469558,538.428821020864,584.471044489062,945.779779391136,73.0639751905558
"Value_manure_JF",10.7850927442062,17.1423410765677,21.9749655790124,24.5821320848473,29.3861607561476,70.6610903570353,9.77738681125801
"Value_manure_JM",11.6399579767076,16.9017543388432,22.2520085588921,24.3665994016699,29.7219330231594,69.9614352648332,9.4200027440419
"Value_manure_SubAF",7.46898000235529,25.17003071838,38.1739632964236,43.0940185128451,54.9872846366255,168.916720822184,23.5875509363655
"Value_manure_SubAM",7.2994139596173,26.6159747175194,38.6851395941463,43.3255656884935,55.1006568479076,133.688875347763,23.1113638917082
"Value_manure_AF",264.848946148606,324.220697744878,351.985966216096,360.426282129128,388.806178373504,589.360315806598,49.4498871046063
"Value_manure_AM",4.46077689854834,24.3781128612203,33.7669579467855,33.9897259554334,42.6435825734355,65.865140974407,12.5168538367011
"Quantity_hides",0.062151264001822,0.0791532206246285,0.0866798948923771,0.0879833549726875,0.0949660828484668,0.152377618726551,0.0121403390430626
"Quantity_hides_SubAF",0.00157443266845555,0.00594218702025198,0.00926933457197728,0.0105740407457903,0.0135498801356518,0.0423652454441584,0.00614990314291643
"Quantity_hides_SubAM",0.00154342705425798,0.00625861970521539,0.009246049427347,0.0105981440521644,0.0137197253287887,0.0336602092672643,0.00595930458433969
"Quantity_hides_AF",0.0471741323901014,0.0512677387453019,0.0546995926955138,0.0563108721524251,0.059883947016638,0.0880077199298066,0.00659447832428866
"Quantity_hides_AM",0.000667921894098453,0.00387106738303459,0.00523223657471946,0.00528063170167123,0.00673153976582883,0.0100147820821874,0.00191157718923109
"Value_hides",2.93660648097808,5.12855326944068,5.96935035351053,6.00677327377585,6.78954533558587,10.7467667714581,1.23941961117934
"Value_hides_SubAF",0.0866646735658826,0.363118057420345,0.607040973459599,0.71492295182229,0.937393004238558,2.93201996314824,0.466881055236581
"Value_hides_SubAM",0.0659857433239613,0.40455667770079,0.632416976589711,0.732448057637676,0.956928752849341,2.88422023981106,0.453807734909659
