"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.248292613649448,0.310571668552296,0.35846069539906,0.365759916228347,0.412244824582175,0.637160137688794,0.0770042264363847
"Num_JM",0.245607852923495,0.308307059603508,0.355325819287925,0.364212024892801,0.416785944743862,0.515458979871306,0.0661742184936881
"Num_SubAF",0.131701408104029,0.218186788489418,0.307107281923245,0.324885938954971,0.398252830026006,0.766561373474058,0.128051124688867
"Num_SubAM",0.157581860656352,0.240361699114278,0.308738585980329,0.329209058920559,0.388913641170273,0.819026468192265,0.123756880954175
"Num_AF",0.90248863309118,0.982030676930909,1.07047991412556,1.12975677582602,1.2272778442205,1.69108361053532,0.18782793292167
"Num_AM",0.0119485459401826,0.0683957475390116,0.0961977040031453,0.0971008960800531,0.122818370833834,0.190125316628844,0.0382188120336435
"Num_N",2.36560674308936,3.02096150313344,3.45987739085755,3.42308878537261,3.7717505789365,4.65280755247959,0.506530965276576
"Total_mortality",0,0,0,0,0,0,0
"Total_mortality_JF",0,0,0,0,0,0,0
"Total_mortality_JM",0,0,0,0,0,0,0
"Total_mortality_SubAF",0,0,0,0,0,0,0
"Total_mortality_SubAM",0,0,0,0,0,0,0
"Total_mortality_AF",0,0,0,0,0,0,0
"Total_mortality_AM",0,0,0,0,0,0,0
"Quantity_liveweight_kg",465.220974038272,664.11339953264,768.862907982482,763.945263112144,864.727320972988,1086.52652987596,136.890563211686
"Quantity_liveweight_kg_JF",14.6468688674915,29.3355184835557,37.7196803854987,37.9726642945847,44.8093461254451,74.1631717926555,11.7460073681972
"Quantity_liveweight_kg_JM",11.7831590634944,30.173544510361,38.0778330185665,39.3539175465265,46.3372318108349,81.1738352832754,13.5241943154527
"Quantity_liveweight_kg_SubAF",17.3998353865743,39.3110501723582,59.050210926134,62.2875017295823,81.114730235941,176.953242051402,27.7991618965537
"Quantity_liveweight_kg_SubAM",22.0672448536509,44.4899054895992,58.747727081963,63.3498704720266,74.7750759518072,128.927974623245,26.5630191865356
"Quantity_liveweight_kg_AF",164.317998317943,241.529196368046,271.78477757642,281.824200239821,308.361709153274,475.301623117578,63.8305998740679
