"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.209808581751839,0.257526368062219,0.287436274318011,0.298913965753412,0.331955000718678,0.498345520726513,0.0574413729612186
"Num_JM",0.253356816700116,0.30956692993087,0.347958584448221,0.358634005976842,0.392940164390773,0.541309599178248,0.0678466245189462
"Num_SubAF",0.123246263568071,0.214448131767042,0.276762193212352,0.287942545340591,0.354953891487085,0.715579287502424,0.102853206829284
"Num_SubAM",0.139399224322975,0.249497118555646,0.306315245769829,0.344589384072005,0.432014826740255,0.736606740067971,0.137991767056854
"Num_AF",0.905833754040421,0.988010311767135,1.0622333206425,1.10462609356686,1.18394603454071,1.65784459041903,0.155736329993284
"Num_AM",0.00982984910004643,0.0773234448875942,0.0966285599523223,0.0968515104495751,0.12031157918445,0.171117546915604,0.0344305206976395
"Num_N",2.29271068605609,2.89733236255004,3.27451180093929,3.3222734616268,3.66818713804285,4.89291983601898,0.529082334408381
"Total_mortality",0.0456997149264766,0.0631855483211647,0.0764085377273058,0.0858710730924536,0.104392222227262,0.184662231998662,0.0303348039670134
"Total_mortality_JF",0.0456997149264766,0.0631855483211647,0.0764085377273058,0.0858710730924536,0.104392222227262,0.184662231998662,0.0303348039670134
"Total_mortality_JM",0,0,0,0,0,0,0
"Total_mortality_SubAF",0,0,0,0,0,0,0
"Total_mortality_SubAM",0,0,0,0,0,0,0
"Total_mortality_AF",0,0,0,0,0,0,0
"Total_mortality_AM",0,0,0,0,0,0,0
"Quantity_liveweight_kg",476.473546720759,668.39123440627,737.164577111009,746.670453849384,827.796494647215,1156.08396806632,131.374493164797
"Quantity_liveweight_kg_JF",10.9056897334564,22.179915078438,28.2133189913757,28.808900425802,33.9178301953801,60.1478636107278,8.95152421498581
"Quantity_liveweight_kg_JM",12.4254369912266,30.9079486012838,41.5261827187669,41.3413258379176,50.5342256331712,73.8813490657285,13.2364234479348
"Quantity_liveweight_kg_SubAF",18.0339051539133,39.1216303760766,50.0720345973049,53.941858895499,65.4556810880189,130.851767673318,21.8780791906811
"Quantity_liveweight_kg_SubAM",16.0934556908795,43.7544079468334,60.7341809299765,69.5622406554083,90.489132723743,167.941738658723,33.1896365969587
"Quantity_liveweight_kg_AF",162.198096849178,233.421916328239,264.466851304287,267.328097204302,292.666293625683,368.905677485866,47.9329645934608
"Quantity_liveweight_kg_AM",2.67125242255069,23.6978121725714,32.2960636965555,30.394228298888,37.0307613093994,55.0466277507298,11.386990048352
"Cumulative_draught_income",3588.55327547473,9858.80114270556,12172.9608108085,12369.0134762826,15047.1101971041,21683.4242502917,4195.20742123809
"Quantity_meat_kg",14.8389259407968,29.3462988622073,34.3796615440911,35.0907317650034,39.8520211127877,59.1354595348279,8.85746963268572
"Num_offtake",0.127332717044064,0.210642779709026,0.242478413311264,0.246466906943076,0.282202283525498,0.367452269312716,0.0528344879655133
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.000849284538530998,0.00232879372693219,0.00351466465066075,0.00396175196458193,0.00503631616905401,0.0124734307209517,0.00211950882332306
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0669683490926711,0.0717030753177656,0.0765692194558096,0.080121750121855,0.0859580160897842,0.121538544161108,0.0111077577302519
"Num_offtake_AM",0.00145668902603791,0.012908147770565,0.0165881207295158,0.0170163939461427,0.0219058916359194,0.0313856521141314,0.00639723344336021
"Offtake_liveweight_kg",29.6778518815935,58.6925977244146,68.7593230881822,70.1814635300068,79.7040422255754,118.270919069656,17.7149392653714
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.124270840941915,0.456045762743158,0.651433941172601,0.742103831602052,0.931485465734942,2.28090791236277,0.424907295197469
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
