"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.250047714533454,0.298234952517512,0.333952060767106,0.340877580989165,0.381712868095221,0.49204316409609,0.0566033677973274
"Num_JM",0.246915500121407,0.303334605892396,0.33156687039535,0.340040492473319,0.365188477366351,0.500029727591558,0.0498948412745359
"Num_SubAF",0.144330965340186,0.221258412242425,0.286022015069859,0.28510332171394,0.328617362671172,0.564598674130337,0.0848149550417206
"Num_SubAM",0.158474860971204,0.23680609947525,0.287687310975984,0.308842497467504,0.369869087192972,0.567292128759962,0.101967468104055
"Num_AF",0.907202949254276,0.980975508169943,1.0638303750294,1.09111576638963,1.15182197569352,1.60714241901929,0.132842355971495
"Num_AM",0.0266528947288722,0.0734302448897812,0.10022123888014,0.101928218904916,0.127300525286163,0.180372096703649,0.0344794272170127
"Num_N",2.4687026077418,2.98162211182422,3.27597469467627,3.28197654220275,3.58436459543941,4.21818542044264,0.406066024386714
"Total_mortality",0,0,0,0,0,0,0
"Total_mortality_JF",0,0,0,0,0,0,0
"Total_mortality_JM",0,0,0,0,0,0,0
"Total_mortality_SubAF",0,0,0,0,0,0,0
"Total_mortality_SubAM",0,0,0,0,0,0,0
"Total_mortality_AF",0,0,0,0,0,0,0
"Total_mortality_AM",0,0,0,0,0,0,0
"Quantity_liveweight_kg",495.153278113501,653.573411008068,723.451627618547,720.704317747699,781.078325378214,1056.38979545028,110.343152231791
"Quantity_liveweight_kg_JF",15.5022874718001,29.5028665974762,34.5538745715171,34.5750839373581,39.584776778355,63.8928855102656,9.22869110116489
"Quantity_liveweight_kg_JM",13.5293066908404,29.0782294303178,37.0043757120047,37.4735391153243,44.6433478217688,83.7421434016689,12.071546169221
"Quantity_liveweight_kg_SubAF",18.4753850669616,39.1662199400999,48.4653493828418,51.3993526427926,62.1936360261305,131.823396819739,20.216553172039
"Quantity_liveweight_kg_SubAM",27.7574878956077,41.503732822894,56.4319201559347,62.3177254070625,78.9611304570792,154.082131455752,25.6916948402778
"Quantity_liveweight_kg_AF",161.98319825608,231.720083495472,262.618088517593,264.308061648718,295.777236555823,373.588588528464,46.8166770207358
"Quantity_liveweight_kg_AM",8.15418018979162,23.2023568388747,30.0583215348338,31.7276601102441,41.4415337974492,58.187829114589,11.8720975246401
"Cumulative_draught_income",3601.00618570511,8700.46505814756,12399.2539213623,12211.0085044697,15007.0234536868,22339.6709167512,4395.06910257262
"Quantity_meat_kg",17.0963158240984,28.3452932977792,33.9773375723437,33.8349668909702,37.8100285819865,58.554258730171,8.28323519833683
"Num_offtake",0.120856417186424,0.206542900042626,0.248296325397815,0.244838786784834,0.281823320739102,0.35771094545445,0.0528523988210703
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.00094434985974447,0.00235778159002281,0.00326428351330034,0.00354897764095737,0.00450898715346769,0.0101758374305501,0.00168128729530909
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0675955395144597,0.0718944046196811,0.0774524013279017,0.0794552609313057,0.0838215707174635,0.117628966861931,0.00968468645595194
"Num_offtake_AM",0.00413066215188273,0.0130458159164596,0.0178974786769996,0.0181459975809497,0.0229595497245456,0.0323956686117939,0.00647049032934115
"Offtake_liveweight_kg",34.1926316481969,56.6905865955584,67.9546751446874,67.6699337819403,75.620057163973,117.108517460342,16.5664703966737
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.138116998157211,0.407123286123049,0.539981471873795,0.640104697215016,0.814826386858761,1.95140998047426,0.348384861666417
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",12.1022055035869,16.8303492350584,19.128339186056,19.2410194824688,21.496409688427,27.4782521033272,3.38350269900592
"Offtake_liveweight_kg_AM",1.26373378322458,4.149823218959,5.47924595387096,5.64602092141873,7.35729760322369,10.1849583388726,2.19357333723021
"Pop_growth",0.350846158267259,0.497611919203833,0.558341506006321,0.566838077319726,0.615497326810712,0.906711085571254,0.104640716618033
"Pop_growth_JF",-0.108798165565794,0.166983670241365,0.216285323815541,0.200196760132675,0.251641928849229,0.374294057367745,0.0862617895768038
"Pop_growth_JM",-0.176453383638853,0.162285333683988,0.210432170655118,0.201737793528651,0.260589557212854,0.390911270926498,0.090050769576346
"Pop_growth_SubAF",-0.0290236893609662,0.0984504539433909,0.144081612080292,0.152939226782595,0.198306368759559,0.382476650862638,0.0821432760172623
"Pop_growth_SubAM",-0.085515358582486,0.102325713966995,0.142185711749497,0.139837921150146,0.17749583208301,0.364636825206303,0.0753696843382698
"Pop_growth_AF",-0.171912931519096,-0.109771591277458,-0.0838292685629555,-0.0769187664912963,-0.0543487727216228,0.109925045254029,0.0464877916482122
"Pop_growth_AM",-0.0257410218198361,-0.013092759813071,-0.00710300693539322,-0.00705802853799709,-0.000896744490441158,0.011176014476702,0.00817755452412135
"Quantity_manure",1154.24254896556,1538.86715860965,1707.17098652102,1712.4116509799,1864.66771169661,2282.71529360632,245.621936843872
"Quantity_manure_JF",36.0253553691843,49.430465069909,59.0171063267825,62.8732013584829,73.880133211851,124.707847066827,18.2338373236206
"Quantity_manure_JM",38.7120733789903,50.4108580218577,59.1853790002987,62.5797088838361,71.3174084833677,129.708755343651,16.3686366694186
"Quantity_manure_SubAF",26.3444570363216,57.9486741674725,78.7424578399157,84.3781959144496,104.847423108048,233.500934527937,37.39408387082
"Quantity_manure_SubAM",33.9627399726943,60.452688629911,88.1007587518492,96.1615977842493,126.535785242705,223.317369396458,46.1204792664459
"Quantity_manure_AF",558.532585576083,690.42614012463,741.278495940868,768.001664113546,808.919945215396,1058.26287721932,102.586342208829
"Quantity_manure_AM",16.0039684010273,52.8505207046934,68.2450441320569,71.5690803381292,92.259468253499,130.706858510708,25.7374799306945
"Value_manure",577.121274482781,769.433579304825,853.58549326051,856.205825489952,932.333855848306,1141.35764680316,122.810968421936
"Value_manure_JF",18.0126776845921,24.7152325349545,29.5085531633912,31.4366006792415,36.9400666059255,62.3539235334135,9.11691866181029
