"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.25187462816169,0.302091693413401,0.339963030146228,0.351523464612815,0.394167280113381,0.541195015394047,0.0637643662958117
"Num_JM",0.255031364854732,0.303222258488567,0.337253581567389,0.353557266483886,0.376215368483132,0.544355113169561,0.0688200386395578
"Num_SubAF",0.14465729929642,0.227572508116594,0.28014185264024,0.299885792419326,0.368503977494779,0.568962760534628,0.100883394327414
"Num_SubAM",0.149065494497167,0.234902873099818,0.290323819142336,0.31284800636107,0.385023429448271,0.599146371022672,0.112608113105756
"Num_AF",0.896416783402302,0.98883304872806,1.0592278056026,1.10527046599873,1.18423210951531,1.57027229933924,0.150742121271559
"Num_AM",0.0304323957637615,0.0774951273089006,0.101579449301027,0.104299746895464,0.134189992487392,0.185713993692706,0.0372122511260585
"Num_N",2.34617872705415,3.00964177759359,3.28678970672817,3.35085329613019,3.62760696072851,4.70087790083984,0.495331003081322
"Total_mortality",0,0,0,0,0,0,0
"Total_mortality_JF",0,0,0,0,0,0,0
"Total_mortality_JM",0,0,0,0,0,0,0
"Total_mortality_SubAF",0,0,0,0,0,0,0
"Total_mortality_SubAM",0,0,0,0,0,0,0
"Total_mortality_AF",0,0,0,0,0,0,0
"Total_mortality_AM",0,0,0,0,0,0,0
"Quantity_liveweight_kg",434.087267066018,641.056014549935,723.546142176463,735.631876279248,805.51659749497,1117.59399227969,137.84759103906
"Quantity_liveweight_kg_JF",13.0497553724684,28.5168586158489,34.0456641374947,35.7550020334739,42.1728042240172,61.973556012386,10.8241541366958
"Quantity_liveweight_kg_JM",15.1315008458426,31.5152913856181,38.653377607124,39.6669210775065,48.2023637624573,64.4060045919715,11.8674222660985
"Quantity_liveweight_kg_SubAF",19.2479151057233,39.2930212810564,50.2170797353108,54.5187191551773,68.8665248651238,123.27355131722,21.5957356249537
"Quantity_liveweight_kg_SubAM",20.0644722767965,40.4370931026894,53.2729728825673,61.7149904972264,80.6645582421187,136.586060904559,27.6854076026111
"Quantity_liveweight_kg_AF",180.877560679902,222.243064147627,258.968367528022,268.306024470765,304.192510674734,464.67941592386,60.0322248863689
"Quantity_liveweight_kg_AM",7.90942912371514,22.0776043094118,29.7134217759623,31.5686173710111,37.4439894908019,72.9811262698206,13.4327811288686
"Cumulative_draught_income",2112.47939560135,9490.98719572323,11734.1094601046,12366.9873042175,16351.6965223475,20818.9678754685,4399.67762124043
"Quantity_meat_kg",14.256141309308,27.2852693346362,33.4216777663554,34.462623169519,41.9881629042796,58.2958116226461,9.12635938828835
"Num_offtake",0.126644513200077,0.20799817238179,0.242306754444197,0.248236795468041,0.297595401765135,0.35979722011868,0.0551712717630952
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.00100865928868629,0.00248146642763466,0.00326587509329006,0.00376430589377054,0.00489884623363501,0.00968166131141411,0.00189020491729844
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0667348122886761,0.0715533525531911,0.0763946355144126,0.0802834292592942,0.0857909040118653,0.114942666124295,0.010890786579888
"Num_offtake_AM",0.00513975229947971,0.0132735945793247,0.0183749821802837,0.0186083962867806,0.0243108582162014,0.0324431595156734,0.00699732366268178
"Offtake_liveweight_kg",28.512282618616,54.5705386692724,66.8433555327107,68.925246339038,83.9763258085591,116.591623245292,18.2527187765767
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.14064006776647,0.410229831644167,0.608963621888688,0.685158811033805,0.884609599356342,2.06117900849735,0.375128136591513
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",13.4656448682193,15.9203550619874,18.934269613543,19.4896607672408,22.0382530418298,34.014158551892,4.34851718004632
"Offtake_liveweight_kg_AM",1.33582997677085,3.91477464958343,5.34725139773985,5.63358632086596,6.85421871094661,12.7493802385355,2.49323195583004
"Pop_growth",0.362889417720846,0.511149216874343,0.554350663322708,0.576027077050599,0.63473375750543,0.921443928808315,0.10582428684119
"Pop_growth_JF",-0.0893417413356863,0.138670059175609,0.211226447582206,0.193804051194254,0.252044158946442,0.380023346864077,0.0890072310359356
"Pop_growth_JM",-0.265706015608591,0.137337722947145,0.20507186919469,0.190059935076557,0.262907939599499,0.41789418691373,0.105433970599914
"Pop_growth_SubAF",-0.0298365632821632,0.106714660846486,0.150157224292437,0.160085293491794,0.215291659463516,0.384061253940365,0.0773572308867801
"Pop_growth_SubAM",-0.109352437136131,0.118637431082221,0.147333115322431,0.161192421049103,0.206906802378258,0.495517365947832,0.097573579967991
"Pop_growth_AF",-0.165099451259151,-0.113270882014537,-0.077050060715771,-0.0729080089503192,-0.0420773426237086,0.0955023570721052,0.051139248110604
"Pop_growth_AM",-0.0254037058243433,-0.0131967289181425,-0.00829588602727815,-0.00781015173636204,-0.00167838361814595,0.0114796268813992,0.00879225470697764
