"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.00185280543853727,0.0212907834104232,0.0530859943981985,0.0592952394504625,0.081558932238874,0.209301437866934,0.0457028074802822
"Num_JM",0.000506943794105291,0.0162867310052293,0.037558795999212,0.0534096009323583,0.0714793193009469,0.246307666960457,0.0506385653603362
"Num_SubAF",0.00340294040623398,0.108978970609538,0.163967114047459,0.180576996529627,0.24134809093387,0.483347845386658,0.102793984995123
"Num_SubAM",0.00443356029635074,0.0829751574369882,0.147009029731926,0.173070029324687,0.238423424897387,0.552846019931148,0.118005341689657
"Num_AF",0.899890421892602,0.991639329177623,1.05954425820606,1.08222051549635,1.11753408899122,1.45565033688858,0.128571091814864
"Num_AM",0.0375496701082259,0.0754939279420784,0.108382153595453,0.103723778870624,0.125749842612916,0.171385992762817,0.0340594603026136
"Num_N",1.40028463594764,2.1570754517461,2.45036134524217,2.45977635773066,2.73362934262914,3.48216453090033,0.425610580024699
"Total_mortality",0,0,0,0,0,0,0
"Total_mortality_JF",0,0,0,0,0,0,0
"Total_mortality_JM",0,0,0,0,0,0,0
"Total_mortality_SubAF",0,0,0,0,0,0,0
"Total_mortality_SubAM",0,0,0,0,0,0,0
"Total_mortality_AF",0,0,0,0,0,0,0
"Total_mortality_AM",0,0,0,0,0,0,0
"Quantity_liveweight_kg",329.087460078534,517.278355341198,612.504423920491,613.659841410519,688.744513058936,1023.69408546613,130.008243550007
"Quantity_liveweight_kg_JF",0.176734756800782,2.1673447558982,5.22803786836843,6.11767358910626,8.26539253600878,23.4528279639889,5.07342338884275
"Quantity_liveweight_kg_JM",0.0789562940405705,1.84207534925219,4.35358362923971,6.46333266884537,9.10780818793957,28.0588911002906,6.40986933088258
"Quantity_liveweight_kg_SubAF",0.785533695442956,18.6795773511123,27.5235482899169,34.3694119626647,48.0173045815426,91.2962032136087,21.7557866107336
"Quantity_liveweight_kg_SubAM",1.03955000716829,14.2308137638964,31.6289871253095,35.0076434939592,42.6830305766224,155.78906929622,28.0080796900865
"Quantity_liveweight_kg_AF",163.207640004627,226.665364968469,253.116092409228,256.634700335002,287.504796732847,357.858917179247,42.4208643169776
"Quantity_liveweight_kg_AM",8.96083561488895,22.7055054798222,29.7380033643059,30.9079310475566,38.8716887039652,63.9806387177701,12.2283493955128
"Cumulative_draught_income",1945.48853511125,8679.16215635813,11989.5276395219,12329.3703912999,16003.363793951,22933.1398998439,4661.53090499227
"Quantity_meat_kg",14.5318557583807,26.7977346983357,33.9303328461458,34.5158717259727,40.4335800770272,64.7819374440523,10.0604892925958
"Num_offtake",0.119873228092235,0.208022324441249,0.243346855166913,0.246983270065156,0.290133868694184,0.373321661313397,0.0568763831402614
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",4.70258366999892e-05,0.0018558505067974,0.00288668815681813,0.00337900809330513,0.00431033654851885,0.00977734760388835,0.00211816089988074
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0683486626035402,0.0722194664968459,0.0775653997805167,0.0793952818245924,0.082086887738852,0.106976446323694,0.00911609601358788
"Num_offtake_AM",0.00596130953991796,0.0139307416444869,0.0190720550879617,0.0188156892631158,0.0230712163791825,0.0318626565100707,0.00641119557683146
"Offtake_liveweight_kg",29.0637115167613,53.5954693966713,67.8606656922915,69.0317434519453,80.8671601540543,129.563874888105,20.1209785851916
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.0108554293858826,0.3025903647111,0.53920850558101,0.642021033969452,0.893519299586425,1.80873125875214,0.431546521805253
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",12.2898351868426,16.7404014731749,18.8315533150868,18.8263916277524,21.1818454729307,25.3644712898543,3.0576781289155
"Offtake_liveweight_kg_AM",1.40971339492794,4.16078084724582,5.43839509347054,5.60719161416315,6.88131417618132,11.9232836271173,2.28228198957763
"Pop_growth",-0.472539375130132,-0.384650215103941,-0.337707113525976,-0.340146835830647,-0.29206932429234,-0.208445526874287,0.0601251506837766
"Pop_growth_JF",-0.385312305058668,-0.150145457667919,-0.0977283628644048,-0.109159237626398,-0.039195147993157,-0.00341091175303779,0.0841363264263658
"Pop_growth_JM",-0.453438714408134,-0.131589450911381,-0.0691436542871976,-0.0983241044937024,-0.0299829658575261,-0.000933255327018255,0.0932227821399867
"Pop_growth_SubAF",-0.251953088612394,-0.0245818046217174,0.00581672019815156,0.0145964784746797,0.0746403925350977,0.269187082110141,0.0834857204225083
"Pop_growth_SubAM",-0.189238196310605,-0.0338637522658255,-0.000926742760143911,0.0101068153511088,0.0452809919697603,0.279099128226189,0.0836075820086189
"Pop_growth_AF",-0.175688344102789,-0.119917031723539,-0.0900440099289089,-0.0813750965316711,-0.0488278567879336,0.0827678717607767,0.0557698661673882
"Pop_growth_AM",-0.0289076820150855,-0.0164008732220171,-0.00974907561229492,-0.00999396034885647,-0.0034808640176482,0.00928386125881621,0.00885510216338483
"Quantity_manure",997.145389052083,1428.68644504528,1612.20315279942,1611.35021657752,1795.15908715931,2233.84173997502,265.385921668529
"Quantity_manure_JF",0.740505953126243,8.35392792626449,20.7920608147374,23.4768637077977,33.1298367293928,81.4284909711648,18.1117101250663
"Quantity_manure_JM",0.194042059678458,6.27141277666286,14.9028401851686,20.9762365282929,28.1088035868409,94.4764790752228,19.8758674567416
"Quantity_manure_SubAF",1.13253244849754,44.2896160698959,65.2377701618148,76.3325249873741,101.559789321277,215.364873437904,46.7158075158966
"Quantity_manure_SubAM",1.55440061311293,36.8291517434362,64.2191432967363,73.4175958914672,95.7578521696648,221.609286213525,51.4841241200718
"Quantity_manure_AF",627.396080141074,691.901648066443,739.827565770986,764.97479964863,806.527396458138,1102.72515403356,104.47169393134
"Quantity_manure_AM",25.6674092567187,53.5401193483388,75.4667534323071,74.258283969536,91.9619880214252,133.592077964825,25.4239594537117
