"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.161084196437548,0.194171285737101,0.219290170606898,0.227640769968625,0.247748758082175,0.396964153044915,0.0472434800881629
"Num_JM",0.155311755402825,0.20780510756435,0.229105126454449,0.24085816288472,0.273830056381455,0.375243718373873,0.0494949576094649
"Num_SubAF",0.0953672911191774,0.159153346596452,0.221891675912806,0.246450703617711,0.305298564681878,0.556172792552806,0.109719595178047
"Num_SubAM",0.0884012085500657,0.179457636551061,0.233025556342097,0.258400488829911,0.323193305398651,0.591369070797327,0.0993827806671677
"Num_AF",0.878045277877383,0.968878567798944,1.03194917844194,1.08049552013651,1.18112500634003,1.58394627139533,0.146323996337718
"Num_AM",0.0287659986452524,0.0786793732426309,0.0979137992223435,0.0994324044026834,0.125558635797243,0.175108086573936,0.0324236727311094
"Num_N",2.01719811926816,2.6627988731431,2.88821095605342,2.93626169301548,3.22605882565789,4.03593700614494,0.408171042178532
"Total_mortality",0.0706491164838216,0.0936720756710597,0.107116261815214,0.109018561213666,0.124044774944415,0.155972283163909,0.0201882880643063
"Total_mortality_JF",0.010601604287032,0.0146562076510876,0.0192000750278989,0.0212082707256395,0.0257529378897346,0.0503604406451141,0.0085841475366039
"Total_mortality_JM",0.0103680367712242,0.0164000691009911,0.0213675747970882,0.0240898389576942,0.0314660890260967,0.0485588306593813,0.00996127286066084
"Total_mortality_SubAF",0.00266444173416114,0.00873277415230273,0.0127904946019838,0.0159257038109593,0.0210493086790004,0.0492964457352854,0.0100130413462807
"Total_mortality_SubAM",0.00267680317215782,0.0104262097298329,0.0137531015481764,0.0158824472386105,0.0193909035233044,0.045960993126338,0.00846097995301801
"Total_mortality_AF",0.0190557929632648,0.0205260343642114,0.0215853452734329,0.0227469107504954,0.0245762689845255,0.0321545872267161,0.00296896947508532
"Total_mortality_AM",0.000292369127125201,0.000819969937793007,0.00102802193506388,0.00104092053965964,0.00130513226542393,0.00181935891110695,0.000355963692477744
"Quantity_liveweight_kg",384.430881570633,548.315695877679,611.495891143599,626.867080448036,696.952850534387,1000.37377814147,112.247123319235
"Quantity_liveweight_kg_JF",4.83296734989001,14.9595570093232,18.407375442979,19.3417913094344,23.132859079704,40.1318213621046,6.14715216541628
"Quantity_liveweight_kg_JM",6.41809228328787,16.2113679785869,20.5437053879528,21.2240447951163,26.2871546667264,40.5109485206437,7.3080306386882
"Quantity_liveweight_kg_SubAF",11.2165592764981,25.8680632464115,33.5020930643487,40.1725396066331,49.5331144718249,118.186238162299,21.9316988831238
"Quantity_liveweight_kg_SubAM",18.0688759861553,30.0390355640328,43.6189576457104,46.5645191949655,59.336710660249,115.939930073819,19.9860797891796
"Quantity_liveweight_kg_AF",165.605256441284,221.164796681182,255.178517931505,263.567166383222,293.885687247355,426.814788078766,56.7001370114701
"Quantity_liveweight_kg_AM",7.86963616307974,19.8959590878359,26.3456222762154,26.7549232089046,33.2364488935421,53.2612052428822,9.47084803547576
"Cumulative_draught_income",1511.87180916946,6387.19249631152,8801.57723809054,8665.632333162,10933.1110403807,15272.8083416754,3156.54084194653
"Quantity_meat_kg",15.1391046968406,25.7395783735197,31.2747205191862,31.0497980347599,35.4076801432631,53.5326234111861,7.96387578750156
"Num_offtake",0.122199417728147,0.200834350520782,0.243349851812661,0.240636955579381,0.275076470045389,0.361088160365649,0.0534669087594901
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.000640479628688113,0.00197227828709619,0.00305737654910981,0.00377774876802127,0.00481581302067567,0.0117172142929598,0.00237685413202043
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0665359746645543,0.0716695287912569,0.0753682614524335,0.0794240302835728,0.0858114912171829,0.112272252600053,0.0103665734695444
"Num_offtake_AM",0.00502206523615992,0.0140847378783706,0.0176584760260385,0.0178800371545074,0.0224184387839601,0.0312513815306336,0.0061144379466648
"Offtake_liveweight_kg",30.2782093936812,51.4791567470394,62.5494410383725,62.0995960695199,70.8153602865261,107.065246822372,15.9277515750031
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.0753295772194275,0.308163007411816,0.481953801070789,0.617532511402009,0.831032904279048,2.01292634177476,0.442078410337674
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",12.1345896829835,16.4519352398114,18.8526378372695,19.3698873368711,21.2496203587415,30.2532090677571,4.06847146490925
