"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.234612198483325,0.293699630406335,0.339602127966042,0.354835320547282,0.401179629028712,0.598281426350582,0.0743667907283181
"Num_JM",0.261079229528876,0.306192576321988,0.338752448690713,0.347581352080536,0.387078863834783,0.463783356562488,0.049854248308215
"Num_SubAF",0.131031049718198,0.246761936285036,0.299215264683154,0.320279320927153,0.376020583963897,0.809724771197453,0.12545144746905
"Num_SubAM",0.151706985512344,0.257601663713968,0.31110616807661,0.322349246062116,0.372529479401793,0.582168281269009,0.0949540237483429
"Num_AF",0.89646958171027,0.998106194811354,1.07130629053725,1.10904394315677,1.19319582087524,1.66431717734449,0.143630566467339
"Num_AM",0.0250118935834614,0.0840172340263495,0.118008623733757,0.108751016376354,0.13790709960798,0.187122284310234,0.0383603676449559
"Num_N",2.56628414061985,3.09148662181978,3.38872129829288,3.411198356366,3.66790491739581,4.84279564424617,0.439450873408802
"Total_mortality",0,0,0,0,0,0,0
"Total_mortality_JF",0,0,0,0,0,0,0
"Total_mortality_JM",0,0,0,0,0,0,0
"Total_mortality_SubAF",0,0,0,0,0,0,0
"Total_mortality_SubAM",0,0,0,0,0,0,0
"Total_mortality_AF",0,0,0,0,0,0,0
"Total_mortality_AM",0,0,0,0,0,0,0
"Quantity_liveweight_kg",488.234524349004,664.583291602095,747.789916604572,757.596951489576,843.794459862767,1090.32837367948,125.03108634077
"Quantity_liveweight_kg_JF",11.4850349395404,28.8604155353073,34.7822208894782,35.7272001133312,42.7779755055787,72.2092538917555,11.2365800037814
"Quantity_liveweight_kg_JM",15.6227402364662,33.4599121370768,40.1698815119967,40.4457442830894,47.0596414654966,66.3599583349428,10.2495501919022
"Quantity_liveweight_kg_SubAF",22.234675584119,42.0254576338098,56.4635127069153,59.9524952531731,73.9547228345112,123.763322411592,23.5963675869406
"Quantity_liveweight_kg_SubAM",23.9313642813773,47.3529015885627,58.9477857184857,63.8583448578517,74.5681678959297,147.951084100063,23.7864889509624
"Quantity_liveweight_kg_AF",162.518178750177,234.157560964098,265.140642138544,269.59502336609,299.153046397717,435.460370670881,56.2660854929551
"Quantity_liveweight_kg_AM",7.59605025735279,22.6628301429516,33.5501188142836,32.116180951816,40.7822285231499,66.7986771073689,12.8350405719424
"Cumulative_draught_income",2456.29497158218,10135.8158620824,12818.8627786204,12718.7750581502,14858.8900326893,22519.1060581016,4112.66093929462
"Quantity_meat_kg",15.9485428549911,28.6812306240468,35.6440681806435,35.5139735089033,41.0596383009432,61.9972716113707,8.4271538029096
"Num_offtake",0.143488068228302,0.216884405875023,0.255963347243785,0.253333347428789,0.28663161389401,0.365037563774853,0.0497986949724943
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.000824564804218523,0.00260786693913896,0.00358684863478132,0.0041834635328166,0.00535503660057066,0.0125869820139972,0.00229605717332871
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.067157843276918,0.07272568217965,0.0764389044001302,0.080120776583042,0.086876044560787,0.116176410910999,0.0100195403273041
"Num_offtake_AM",0.00315291231269456,0.0137585407922796,0.0209967255609021,0.019380683507752,0.0248598007449375,0.0332913956481775,0.00725924215112108
"Offtake_liveweight_kg",31.8970857099823,57.3624612480936,71.288136361287,71.0279470178066,82.1192766018865,123.994543222741,16.8543076058192
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.141962677210556,0.486309066320294,0.666400087572434,0.775651484234747,0.990540858014547,1.90906787505044,0.413086694569705
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",12.1540658491337,17.2230219676069,18.8626147974173,19.4495646657819,21.5711493062083,30.3969842090052,3.84640260966957
"Offtake_liveweight_kg_AM",1.27392357620581,4.0261016948261,6.10539621569691,5.7171953761151,7.36733567044292,11.8843204407945,2.39151926750447
"Pop_growth",0.364610118532599,0.487064262987765,0.541561513006911,0.562594736402142,0.609423061298664,0.973122436350728,0.111480984732564
"Pop_growth_JF",-0.209697666503785,0.108385388520141,0.212145017042773,0.179960141370172,0.247960593109895,0.371061763492456,0.10512663348697
"Pop_growth_JM",-0.0608558383968678,0.139073638162322,0.205604130348874,0.193314293827175,0.249788839161159,0.391224234576648,0.0868786589977769
"Pop_growth_SubAF",-0.0436148107457126,0.103734867395621,0.147693886895602,0.157935601900513,0.212592262447628,0.365320288309278,0.0878006554696891
"Pop_growth_SubAM",-0.0371008906724895,0.101538522712398,0.143235422274715,0.145019150508986,0.197460707000015,0.350106842392765,0.0774600462530811
"Pop_growth_AF",-0.166305570090433,-0.107065967143697,-0.0696684850233552,-0.0612433773465967,-0.0263959214706704,0.173894305159882,0.0598350056562637
"Pop_growth_AM",-0.0274744475703992,-0.014610193909845,-0.00881488847114387,-0.00771688016226972,-0.00227659188981614,0.0143678237712498,0.00907793971982204
"Quantity_manure",1316.86385159826,1612.42764931929,1770.46860418185,1776.33504047016,1920.00218630997,2509.73976504489,244.872971072584
"Quantity_manure_JF",35.9822243778026,48.9862260835987,62.9077284933729,68.0917204689121,82.012232690672,153.429698197435,23.6751293632951
"Quantity_manure_JM",42.4243629676229,54.1961935818876,62.141355068958,65.2450394204284,73.4569653385495,114.74163513775,15.431444128496
"Quantity_manure_SubAF",23.5669751654511,65.6937871180024,90.4835468594921,98.7770020899084,125.586702357084,299.696668057301,51.479808911066
"Quantity_manure_SubAM",29.3365206020249,69.4706475037522,93.0684522099171,101.519285966594,128.217193881614,226.717498734924,44.3126414276153
