"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.15214050595289,0.197590308526057,0.233404441112859,0.238478852358981,0.262031508266514,0.398869083355997,0.0522610814662758
"Num_JM",0.167951338073786,0.20093637301309,0.220062340516914,0.234162208104883,0.250785024447535,0.374322795994131,0.0485450564047611
"Num_SubAF",0.102670966869319,0.171112442454182,0.238219722224114,0.254019799811336,0.31927671873376,0.595157261472246,0.101703416521495
"Num_SubAM",0.0921813649925116,0.171653062012499,0.223989058116502,0.242933352961367,0.310623803722029,0.569939662365866,0.0952116507776509
"Num_AF",0.875313662501277,0.987718776003787,1.06991150153808,1.08988740404372,1.16198302259778,1.5125691904325,0.135881336865299
"Num_AM",0.0192248489788705,0.0794716745412332,0.102261217674431,0.103395144156215,0.130855900243165,0.188023603603081,0.0362293635034741
"Num_N",2.05599257514702,2.62967826177344,2.97456456447464,2.93726787193899,3.28007406025365,4.02172303372438,0.431924739393835
"Total_mortality",0.0720399081464724,0.0915429235996952,0.104748034637096,0.108656581132386,0.121029553239628,0.167072271184535,0.0227996834129673
"Total_mortality_JF",0.00967985850799724,0.0154057905046116,0.0205649546594007,0.0233109193398348,0.0278001567772951,0.0567253220274559,0.0102242150771199
"Total_mortality_JM",0.0110511981356288,0.0150033628161151,0.0190905607818038,0.0223698332246945,0.0266189199962168,0.0491278385935227,0.00959747953743363
"Total_mortality_SubAF",0.0033642882485633,0.00909892058398027,0.0144801546870741,0.0159517364913541,0.0215330713124018,0.0431013985795611,0.00859630723693361
"Total_mortality_SubAM",0.00264112927591607,0.0083890583904612,0.0123942883979353,0.0149291398394245,0.0187884225829977,0.0432120270861258,0.00846383117573635
"Total_mortality_AF",0.0189940421826318,0.020736805236764,0.0221304991945631,0.0229387349972736,0.0244944406348236,0.0316961201503761,0.0028013819600744
"Total_mortality_AM",0.00019435597622358,0.000826600881479807,0.00107477791417325,0.00108919350809744,0.00137686544048605,0.00200957019888566,0.000402820444566292
"Quantity_liveweight_kg",370.649218668025,533.142207303446,617.46879875006,626.968263777841,702.152860751495,1042.25738471875,124.998340338158
"Quantity_liveweight_kg_JF",7.05699514101175,16.7557356229757,19.6403622725578,19.8631548262588,22.9649248671492,39.4859564144389,5.96258662835642
"Quantity_liveweight_kg_JM",6.8395553349648,16.1624491450421,19.9281806457942,20.8653273452933,24.5216352814719,43.4372009576539,7.49068770144384
"Quantity_liveweight_kg_SubAF",12.6811525024881,29.2273233833679,38.0853164395006,41.9677031447412,48.3352988813003,123.741256616675,19.1325898386897
"Quantity_liveweight_kg_SubAM",16.1177596419763,30.8680483693251,40.9971299679331,45.8735940286579,57.2129299861274,122.70067374641,20.1273322438987
"Quantity_liveweight_kg_AF",153.610145217501,229.089623899188,258.581630050123,265.643134032576,301.121573320708,478.457307900263,57.5857184353418
