"","Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","SD"
"Num_JF",0.254914994723167,0.313928771673896,0.35760202549639,0.364378107366594,0.400288698739791,0.585465082365599,0.0629260359001064
"Num_JM",0.254091694849153,0.313134745958862,0.351937085253129,0.3538758919204,0.387966884178403,0.55218020578329,0.0585078683893632
"Num_SubAF",0.150128424030499,0.254819022217362,0.346791058999609,0.344013347928873,0.408220132397492,0.696411152344077,0.112383538428318
"Num_SubAM",0.143686605781987,0.230320293533757,0.296755542023689,0.314694577777118,0.357527898808923,0.727758910444159,0.1159823662905
"Num_AF",0.909309168735159,1.01843255595118,1.08354238589685,1.11108403937561,1.19908039656229,1.45433149311961,0.12213579831713
"Num_AM",0.0239322613293364,0.0774117524487461,0.105086681256675,0.104624035087015,0.131594196541933,0.171605187315898,0.0360893787092387
"Num_N",2.43888340105218,3.16898694921039,3.46895101635183,3.43957846684721,3.68063807414398,4.25361569064661,0.396505020284784
"Total_mortality",0,0,0,0,0,0,0
"Total_mortality_JF",0,0,0,0,0,0,0
"Total_mortality_JM",0,0,0,0,0,0,0
"Total_mortality_SubAF",0,0,0,0,0,0,0
"Total_mortality_SubAM",0,0,0,0,0,0,0
"Total_mortality_AF",0,0,0,0,0,0,0
"Total_mortality_AM",0,0,0,0,0,0,0
"Quantity_liveweight_kg",502.323626514541,695.423542669188,761.859026313606,767.149770943277,847.077384192015,1006.47096810835,117.75872182184
"Quantity_liveweight_kg_JF",14.0350183138655,29.0947992214074,34.4125400397856,35.7762362997889,41.4597565980623,68.0112583164218,9.75291605745875
"Quantity_liveweight_kg_JM",10.9158635444333,32.1462118970143,40.7104372956057,40.6761464782601,49.5013213593615,63.0156919524148,12.1064640310162
"Quantity_liveweight_kg_SubAF",17.4195915575393,49.4169339763076,61.9433087602847,66.4164170049474,78.3162566578719,194.40482496918,26.8688601359593
"Quantity_liveweight_kg_SubAM",24.0131498168982,43.4072676902435,57.1986579169944,62.9629455371571,77.3495710449818,167.743409768256,28.0687489269252
"Quantity_liveweight_kg_AF",170.535343436023,244.674840760293,272.367861919691,272.54046093724,303.218016757927,378.772891049202,47.7923881606728
"Quantity_liveweight_kg_AM",7.87751441539205,22.9122635849133,31.053909798589,32.091122821824,41.1749467801586,67.7117219536074,12.8613532936892
"Cumulative_draught_income",4515.02124028374,9232.5004997795,13119.5166640061,12733.3047072517,15620.1752873198,21857.8526432312,4164.23439597427
"Quantity_meat_kg",19.9063830012594,29.730711225393,34.7951297763296,35.8297227579632,43.0629698768309,54.4775255494256,8.54882269889459
"Num_offtake",0.150300444665242,0.213760065403375,0.255542195422932,0.252986750217378,0.285779858573002,0.355727520660704,0.0498763161072356
"Num_offtake_JF",0,0,0,0,0,0,0
"Num_offtake_JM",0,0,0,0,0,0,0
"Num_offtake_SubAF",0.00115271515251349,0.00304458039310519,0.00430999719317177,0.00463511221425265,0.00612302035419232,0.0108713501119621,0.00220797308539067
"Num_offtake_SubAM",0,0,0,0,0,0,0
"Num_offtake_AF",0.0679748638308394,0.0732695993040005,0.077922402118353,0.0797789439412509,0.0847751258687262,0.108206860246161,0.00861272363379817
"Num_offtake_AM",0.00314742651415946,0.0134943734282983,0.0187145348139781,0.0186568303462779,0.0239472130212038,0.0318202895664935,0.00691419312584632
"Offtake_liveweight_kg",39.8127660025189,59.461422450786,69.5902595526591,71.6594455159263,86.1259397536618,108.955051098851,17.0976453977892
"Offtake_liveweight_kg_JF",0,0,0,0,0,0,0
"Offtake_liveweight_kg_JM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_SubAF",0.164429365700463,0.527867469482448,0.817389651123372,0.890433654184548,1.11436286297716,3.03476316911491,0.475536318858059
"Offtake_liveweight_kg_SubAM",0,0,0,0,0,0,0
"Offtake_liveweight_kg_AF",12.6255634868549,17.3376214608117,19.6090156216606,19.5613257775894,21.3924558973529,27.364430293365,3.35923179738347
"Offtake_liveweight_kg_AM",1.03600313382362,3.9214211544309,5.68768433817814,5.72269232017983,7.27676833732842,12.2253463450312,2.42049027566861
"Pop_growth",0.353392108695986,0.509487377272988,0.550522286030978,0.566049226316,0.63261333876066,0.948669072928283,0.106614315520072
"Pop_growth_JF",-0.188455665855179,0.116111209824505,0.187563503405435,0.167624784923458,0.244722475963049,0.406104094893596,0.108202639405172
"Pop_growth_JM",-0.140096559278695,0.126797011386952,0.199135393591885,0.186958779391133,0.254353709758404,0.381067652257989,0.104433120111649
"Pop_growth_SubAF",-0.0184548744709407,0.0965101251463212,0.155346698734479,0.158984797922673,0.20320480395058,0.442998884465096,0.0963722388107418
"Pop_growth_SubAM",-0.0545979320503509,0.111727448633909,0.153583625588249,0.159936374830701,0.2104313253397,0.450280725071106,0.0875591261994413
